"procarnumcod","fromarportcod","toarportcod","spacod","UpliftRestrictions","ThroughSPAflag","MultilateralCarrier","InvoluntaryRerouted","InvoluntaryEndorsed","Indemnification","sidetrip","originalreissueflg","Transportation","ownSurchargebilling","mixedclassoptions","sectorFareComponent","spaoncodeshare","OALsurchargebilling","spashareflag","FRMLAT","FRMLON","TOOLAT","TOOLON","bilamt","bilcnt","outcome"
"205","LAO","MNL","10","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","18.178100590","120.531997700","14.508600000","121.019997000","395.25","5","1"
"001","STL","LGA","26","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","38.748697000","-90.370003000","40.777198790","-73.872596740","395.42","1","0"
"001","FLL","ORD","18","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","26.072599000","-80.152702000","41.978600000","-87.904800000","395.65","4","1"
"001","DFW","MIA","26","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","32.896801000","-97.038002000","25.793199540","-80.290603640","395.72","1","0"
"001","DEN","LAX","20","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","39.861698150","-104.672996500","33.942501070","-118.407997100","395.82","2","0"
"057","PEK","MNL","10","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","40.080101010","116.584999100","14.508600000","121.019997000","396","2","0"
"297","MNL","TAC","7","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","14.508600000","121.019997000","11.228035000","125.027761000","396","10","2"
"001","DCA","MSY","18","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","38.852100000","-77.037697000","29.993400570","-90.258003230","396.32","6","1"
"157","BUD","DOH","39","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","47.429760000","19.261093000","25.273056000","51.608056000","396.64","2","0"
"006","ATL","BHM","20","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","33.636700000","-84.428101000","33.562900540","-86.753501890","396.73","17","2"
"001","YVR","ORD","20","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","49.193901060","-123.183998100","41.978600000","-87.904800000","396.8","2","0"
"006","JFK","BWI","15","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","40.639801030","-73.778900150","39.175400000","-76.668297000","397.56","9","2"
"838","YVR","MNL","11","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","49.193901060","-123.183998100","14.508600000","121.019997000","397.7","2","0"
"176","DXB","CDG","38","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","25.252799990","55.364398960","49.012798000","2.550000000","397.72","2","0"
"211","MNL","CEB","31","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","14.508600000","121.019997000","10.307499890","123.978996300","397.83","8","2"
"550","SGN","HAN","1","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","10.818799970","106.652000400","21.221200940","105.806999200","397.93","8","2"
"006","ATL","ALB","20","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","33.636700000","-84.428101000","42.748298650","-73.801696780","398.04","5","1"
"006","LAX","SFO","15","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","33.942501070","-118.407997100","37.618999480","-122.375000000","398.46","5","1"
"205","MNL","SIN","12","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","14.508600000","121.019997000","1.350190000","103.994003000","398.52","8","2"
"001","BTR","DFW","17","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","30.533199000","-91.149597000","32.896801000","-97.038002000","398.86","9","2"
"205","GUM","MNL","12","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","13.483400340","144.796005200","14.508600000","121.019997000","399","8","2"
"205","MNL","GUM","12","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","14.508600000","121.019997000","13.483400340","144.796005200","399","8","2"
"607","CGK","MNL","15","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","-6.125569820","106.655998200","14.508600000","121.019997000","399.38","2","0"
"603","MNL","CGK","11","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","14.508600000","121.019997000","-6.125569820","106.655998200","399.48","2","0"
"781","SHA","KWL","6","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","31.197900770","121.335998500","25.218099590","110.039001500","399.7","1","0"
"083","JNB","HKG","5","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","-26.139200000","28.246000000","22.308901000","113.915001000","400","1","0"
"083","HKG","JNB","5","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","22.308901000","113.915001000","-26.139200000","28.246000000","400","1","0"
"157","SYD","MNL","15","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","-33.946098330","151.177002000","14.508600000","121.019997000","400","1","0"
"083","JNB","HKG","3","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","-26.139200000","28.246000000","22.308901000","113.915001000","400","1","0"
"851","DPS","HKG","3","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","-8.748169899","115.166999800","22.308901000","113.915001000","400","1","0"
"603","HKG","CMB","6","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","22.308901000","113.915001000","7.180759907","79.884101870","400","1","0"
"235","BKK","IST","1","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","13.681099890","100.747001600","41.275278000","28.751944000","400","1","0"
"603","CMB","HKG","6","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","7.180759907","79.884101870","22.308901000","113.915001000","400","1","0"
"706","MNL","DXB","6","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","14.508600000","121.019997000","25.252799990","55.364398960","400","1","0"
"235","IST","BKK","1","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","41.275278000","28.751944000","13.681099890","100.747001600","400","1","0"
"173","HNL","MNL","48","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","21.320620000","-157.924228000","14.508600000","121.019997000","400","1","0"
"205","CEB","NRT","18","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","10.307499890","123.978996300","35.764701840","140.386001600","400","1","0"
"173","SEA","HNL","67","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","47.449001000","-122.308998000","21.320620000","-157.924228000","400","2","0"
